track_id	track_name	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	duration_ms	time_signature
0tZbA8Y7yAwMzeuN3yEFqk	Bathtime	0.733	0.547	0.0	-10.641	1.0	0.0396	0.456	6.27e-05	0.102	0.621	90.031	audio_features	204428.0	4.0
42cHfChm4Xd56qlwBHclIJ	One of these nights - feat. Jua	0.779	0.563	6.0	-7.385	1.0	0.0654	0.226	0.000301	0.0798	0.706	105.01	audio_features	234857.0	4.0
1FVwIVuTtMaptIxyE6zJZj	缶ビール	0.709	0.718	11.0	-6.959	1.0	0.0479	0.0747	3.67e-06	0.121	0.748	108.055	audio_features	172440.0	4.0
7dqMTawnlScCIgNuchjAYR	あのねこの話 - feat. クボタカイ	0.726	0.863	5.0	-5.226	0.0	0.243	0.192	0.0	0.264	0.801	113.96	audio_features	244400.0	4.0
7D6pcC9xM2HJl9A9XrHbYA	Rise & Shine	0.683	0.555	10.0	-14.659	1.0	0.0378	0.249	0.827	0.111	0.13	111.993	audio_features	137143.0	4.0
7I1e5uMItJ9kiTWFyUayVs	Swim	0.841	0.642	4.0	-9.58	0.0	0.0801	0.435	0.824	0.118	0.308	124.011	audio_features	252000.0	4.0
1RL9gghbn6lqDyCTPteNfB	Loops For Healing	0.761	0.699	5.0	-11.836	0.0	0.0597	0.0474	0.848	0.0934	0.643	118.001	audio_features	327458.0	4.0
7KtbZxJU9ZdIyJJ4QMzx66	Heat 1	0.805	0.764	4.0	-10.983	0.0	0.0796	0.459	0.937	0.102	0.707	122.008	audio_features	598071.0	4.0
0C3QADQBYFjcSeU8bY7Oex	Simple Hit	0.631	0.951	5.0	-6.203	1.0	0.0439	0.108	0.836	0.173	0.703	124.007	audio_features	219715.0	4.0
0MuOQWH4N9C9jK44bzRTBQ	White Sky	0.75	0.719	9.0	-11.163	0.0	0.0359	0.00376	0.919	0.105	0.544	113.968	audio_features	135983.0	4.0
